Breakdown of individual trades US
Name of Issuer Date Time (EST)
Identity code of 
the financial 
instrument Currency Price Quantity bought Exchange Venue Reference number of the transaction 
Coca-Cola Europacific Partners PLC 10/08/2026 10:01:49 GB00BDCPN049 USD $106.4800 19 NASD VHTG845720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:02:05 GB00BDCPN049 USD $106.4600 20 NASD VHTG852020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:02:17 GB00BDCPN049 USD $106.4900 20 BATS VHTG861920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:02:23 GB00BDCPN049 USD $106.4600 20 PCSE VHTG863520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:02:25 GB00BDCPN049 USD $106.4400 20 BATS VHTG863920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:02:25 GB00BDCPN049 USD $106.4400 158 UBSS VHTG864020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:03:12 GB00BDCPN049 USD $106.4000 81 UBSS VHTG879920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:04:21 GB00BDCPN049 USD $106.4200 143 UBSS VHTG913320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:05:09 GB00BDCPN049 USD $106.3300 80 UBSS VHTG927020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:05:37 GB00BDCPN049 USD $106.1400 48 UBSS VHTG936620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:06:57 GB00BDCPN049 USD $106.1100 20 PCSE VHTG964820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:07:16 GB00BDCPN049 USD $106.0800 20 PCSE VHTG972320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:07:36 GB00BDCPN049 USD $106.0500 20 MEMX VHTG976320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:07:43 GB00BDCPN049 USD $106.0300 20 MEMX VHTG977720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:09:17 GB00BDCPN049 USD $106.0100 20 NASD VHTG1013020260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:01 GB00BDCPN049 USD $106.0900 40 EPRL VHTG1026920260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:06 GB00BDCPN049 USD $106.0700 25 NASD VHTG1028120260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:06 GB00BDCPN049 USD $106.0700 15 NASD VHTG1028220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:10 GB00BDCPN049 USD $106.0400 20 BATS VHTG1029220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:10 GB00BDCPN049 USD $106.0400 5 BATS VHTG1029320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:10 GB00BDCPN049 USD $106.0400 15 BATS VHTG1029420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:16 GB00BDCPN049 USD $106.0200 7 NASD VHTG1031220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:16 GB00BDCPN049 USD $106.0200 33 NASD VHTG1031320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:10:27 GB00BDCPN049 USD $106.0000 40 NASD VHTG1033720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:11:16 GB00BDCPN049 USD $105.9700 24 INCR VHTG1051220260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:11:16 GB00BDCPN049 USD $105.9700 25 INCR VHTG1051320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:11:20 GB00BDCPN049 USD $105.9600 20 MEMX VHTG1053420260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:11:20 GB00BDCPN049 USD $105.9600 100 UBSS VHTG1053520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:11:44 GB00BDCPN049 USD $105.9100 40 MEMX VHTG1061520260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:12:05 GB00BDCPN049 USD $105.9000 20 NASD VHTG1065320260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:12:15 GB00BDCPN049 USD $105.8400 20 NASD VHTG1067720260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:12:15 GB00BDCPN049 USD $105.8600 20 NASD VHTG1067620260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:13:04 GB00BDCPN049 USD $105.8900 20 PCSE VHTG1102820260810E
Coca-Cola Europacific Partners PLC 10/08/2026 10:14:06 GB00BDCPN049 USD $105.9900 20 BATS VHTG1129320260810E
