ticker,model_id,model_name,passed,score,reasons,failed_criteria,details
GL9.IR,earnings_quality,Earnings Quality,True,1.0,"['FCF/NI=1.80', 'OCF/NI=2.01', 'ratio=-4.66%']",[],
GL9.IR,financial_health,Financial Health,True,1.0,"['D/E=64%', 'leverage=28.3%', 'CR=1.36', 'ratio=1.7', 'coverage=9.4x']",[],
GVR.IR,graham_defensive,Graham Defensive,False,0.75,"['P/E < 15: P/E=12.4', 'P/B < 1.5 or P/E×P/B < 22.5: P/B=1.63', 'Current ratio >= 2: CR=5.94']",['no dividend'],
GVR.IR,graham_enterprising,Graham Enterprising,True,0.8,"['P/E < 25: P/E=12.4', 'P/B < 3: P/B=1.63', 'Debt/equity < 100%: D/E=31%', 'ROE > 8%: ROE=13.9%']",['negative earnings growth'],
GVR.IR,graham_net_net,Graham Net-Net,False,0.0,[],['missing NCAV (balance sheet data)'],
GVR.IR,schloss,Schloss Low P/B,False,0.5,['D/E < 50.0%: D/E=31%'],['P/B too high'],
GVR.IR,deep_value,Deep Value,False,0.0,[],"['P/B not below 1.0', 'EV/EBITDA not below 8']",
GVR.IR,earnings_yield,Earnings Yield,True,0.672,['E/P=8.1% (P/E=12.4)'],[],
GVR.IR,fcf_yield,FCF Yield,False,0.4369,['FCF yield=4.4%'],['FCF yield 4.4% below 5%'],
GVR.IR,low_pe_high_yield,Low P/E + High Yield,False,0.0,[],"['P/E not below 12.0', 'yield below 4%']",
GVR.IR,lynch_peg,Lynch PEG,False,0.2,[],['missing or negative earnings growth'],
GVR.IR,neff_pegy,Neff PEGY,False,0.0,"['PEGY=nan', 'growth=-10.6%', 'yield=nan%']",['PEGY nan >= 1.0'],
GVR.IR,quality_value,Quality Value,True,1.0,"['ROE >= 12%: ROE=13.9%', 'Profit margin >= 5%: margin=11.6%', 'Debt/equity < 80%: D/E=31%', 'P/E < 20: P/E=12.4', 'FCF yield >= 3%: FCF yield=4.4%']",[],
GVR.IR,buffett_quality,Buffett Quality,False,0.75,"['D/E < 60.0%: D/E=31%', 'margin >= 8%: margin=11.6%', 'P/E < 25.0: P/E=12.4']",['ROE too low'],
